Entity,Year,Outdoor air pollution,High systolic blood pressure,Diet low in whole grains ,Alcohol use, Diet low in fruits ,Secondhand smoke,Unsafe sex ,Diet low in nuts and seeds, Smoking,High fasting plasma glucose,Air pollution - Sex,High body-mass index,No access to handwashing facility,Drug use , Low bone mineral density ,Vitamin A deficiency , Child stunting - Sex: Both - Age: All Ages (Number), Discontinued breastfeeding,Non-exclusive breastfeeding
South Sudan,2006,1219,3698,390,480,323,592,4970,45,1768,2096,10748,1584,5295,87,146,351,2058,35,1748
South Sudan,2007,1264,3759,398,490,327,600,5184,44,1774,2133,10865,1634,5253,91,148,302,1953,34,1629
South Sudan,2008,1307,3824,405,497,329,608,5346,44,1780,2175,10988,1682,5231,94,149,280,1903,33,1539
South Sudan,2009,1342,3892,412,507,333,611,5414,43,1788,2220,11032,1738,5218,97,152,293,1901,32,1486
South Sudan,2010,1371,3967,420,516,338,606,5471,43,1798,2265,10975,1800,5160,99,154,358,1967,31,1451
South Sudan,2011,1416,4034,427,538,343,604,5530,44,1807,2307,10953,1863,5111,102,156,381,1990,30,1435
South Sudan,2012,1465,4110,435,541,349,601,5558,44,1822,2355,10894,1934,5086,104,159,375,1980,30,1409
South Sudan,2013,1518,4175,442,542,353,601,5527,45,1831,2397,10820,2001,5096,105,160,288,1839,30,1377
South Sudan,2014,1536,4236,446,546,357,592,5369,45,1846,2440,10588,2066,5040,105,166,271,1790,30,1347
South Sudan,2015,1515,4327,456,548,363,577,5013,46,1858,2486,10160,2131,4805,102,173,204,1601,28,1222
South Sudan,2016,1448,4386,461,544,366,553,4763,46,1860,2518,9596,2182,4527,100,165,178,1461,26,1115
South Sudan,2017,1406,4467,469,552,372,530,4743,47,1873,2561,9187,2249,4268,102,167,167,1322,24,1044
South Sudan,2018,1417,4586,482,564,382,524,4602,48,1898,2627,9107,2345,4148,102,174,145,1207,23,1018
South Sudan,2019,1441,4697,494,575,391,523,4456,50,1919,2689,9088,2434,4050,103,175,138,1137,22,999
South-East Asia Region (WHO),1990,430457,1054527,146673,232844,192886,248549,48229,81625,1004523,515715,1919740,176281,493790,40431,57628,65879,305968,8046,150651
South-East Asia Region (WHO),1991,440640,1084364,150153,240167,197074,249772,50043,83212,1028210,536906,1916653,185204,493865,42295,59819,64654,296486,7690,145331
South-East Asia Region (WHO),1992,450449,1115913,153468,245273,201414,251365,54040,84674,1046038,558764,1915765,195550,493450,44342,61807,63601,287236,6951,139154
South-East Asia Region (WHO),1993,460969,1138983,156351,248322,204233,250773,58674,85919,1057492,573998,1905022,204275,471807,47332,63834,58505,273036,6204,131811
South-East Asia Region (WHO),1994,471206,1164612,160090,253431,207744,250426,65485,87787,1069188,590723,1895680,215000,448846,50890,65462,53782,259986,5634,124132
South-East Asia Region (WHO),1995,482462,1186813,162373,256861,209975,250254,73922,88580,1073816,606302,1886819,224871,435943,53962,66967,50881,249678,5134,116865
South-East Asia Region (WHO),1996,502588,1236722,169199,263892,216850,253231,85360,92265,1101027,636601,1902758,241108,421700,58281,69767,47356,236191,4661,108876
South-East Asia Region (WHO),1997,539548,1313692,180136,273960,228068,260381,99342,99002,1151068,684040,1956260,263152,415707,63567,74095,43775,224210,4374,101879
South-East Asia Region (WHO),1998,566856,1353267,184221,277963,230820,261873,114396,101205,1162703,715161,1964870,280454,407270,67980,76589,40817,212191,4322,96331
South-East Asia Region (WHO),1999,586919,1367205,185251,282876,229299,258766,130393,101300,1151754,731551,1938518,295687,398567,72608,77917,39361,201172,4419,92582
South-East Asia Region (WHO),2000,608195,1406265,189955,286419,232807,259428,146057,103797,1167892,761980,1941622,314016,389241,77140,80049,37696,189713,4216,89922
South-East Asia Region (WHO),2001,632186,1454213,196274,288904,238113,261353,160950,107609,1182309,795678,1955438,334633,376493,81697,82798,34345,176727,3775,86613
South-East Asia Region (WHO),2002,652972,1501723,202603,293596,242601,262782,174548,111079,1194587,832480,1964364,359400,364193,86114,85240,31712,165840,3398,83756
South-East Asia Region (WHO),2003,673346,1524450,205414,296971,242884,260025,183571,112180,1197163,858979,1949396,380341,352740,89083,86296,29340,156123,3193,81826
South-East Asia Region (WHO),2004,678543,1520663,203668,300116,238764,254707,191982,110358,1170533,866795,1903544,393805,339336,91555,85908,27081,147212,3054,80164
South-East Asia Region (WHO),2005,718250,1588275,212664,307481,247520,260393,195838,115792,1202056,914143,1941470,421218,335713,94977,90416,24614,138103,2785,77168
South-East Asia Region (WHO),2006,768834,1672687,225942,319826,259392,268429,195620,124141,1245635,967589,1994950,451856,333482,96511,94756,22527,128790,2415,72978
South-East Asia Region (WHO),2007,823959,1745737,238007,335501,269861,274162,191493,131824,1283631,1013061,2035766,481922,330124,98018,98625,20303,118874,2125,68425
South-East Asia Region (WHO),2008,874849,1813976,249285,355323,279447,279740,186181,138602,1322189,1057644,2070767,510835,325752,99719,101660,18280,109950,1998,63987
South-East Asia Region (WHO),2009,890912,1832761,253531,358430,281454,276904,177189,141368,1318790,1070541,2040480,528718,307834,98911,99679,16239,100915,1953,59449
South-East Asia Region (WHO),2010,925492,1877706,261370,368952,288168,279572,168556,146592,1330869,1098724,2041211,556775,297048,99335,100414,14364,92267,1944,55319
South-East Asia Region (WHO),2011,993278,1940911,273086,382536,297657,287325,160801,153885,1360236,1149905,2073946,594225,288492,99480,103919,12229,82499,1934,51329
South-East Asia Region (WHO),2012,1072326,2001268,284476,395831,307286,296374,153653,160774,1393028,1211250,2111227,634983,273040,97300,106241,9785,73091,1964,48512
South-East Asia Region (WHO),2013,1163788,2055283,293880,404427,315016,307316,150630,166009,1430278,1275469,2154442,674111,261774,96012,112799,7426,63770,1935,45287
South-East Asia Region (WHO),2014,1223927,2090062,298717,405949,319271,314762,144606,168387,1452362,1327072,2164015,707647,245525,93133,117211,5566,54173,1829,41162
South-East Asia Region (WHO),2015,1269166,2147232,306872,414015,328214,322185,138382,173627,1469943,1375500,2179981,753059,233633,93143,121251,4351,46560,1665,37129
South-East Asia Region (WHO),2016,1289624,2204508,314932,425892,336735,327366,132472,178401,1493668,1425490,2170685,794187,222399,93123,125344,3551,39221,1422,31873
South-East Asia Region (WHO),2017,1317646,2263447,322561,437311,344777,334548,126756,182665,1522859,1478052,2179192,830286,220327,93615,130413,3229,35006,1291,28887
South-East Asia Region (WHO),2018,1386412,2335597,334155,446840,354740,346240,124193,187593,1558598,1571985,2226119,873460,215029,96160,137146,2534,30545,1089,25632
South-East Asia Region (WHO),2019,1459196,2394045,342705,455445,362548,355276,123947,189418,1578752,1686761,2255901,918795,208756,100177,141968,1827,26415,933,23094
Spain,1990,14826,74028,13108,23964,2286,6827,2592,2029,65118,45142,16349,30330,102,1378,1638,0,3,1,23
Spain,1991,14397,73790,13078,23730,2283,6729,3048,1986,66091,46267,15743,31048,100,1686,1645,0,3,1,20
Spain,1992,13772,72311,12835,23099,2236,6532,3627,1912,66059,46542,14929,31283,97,1975,1625,0,2,1,18
Spain,1993,13620,72037,12819,22664,2230,6439,4158,1875,66613,47512,14617,31935,98,2221,1635,0,2,1,15
Spain,1994,13527,71614,12777,22325,2224,6344,4669,1838,67054,48203,14407,32556,98,2456,1645,0,2,1,13
Spain,1995,13912,71932,12882,22238,2243,6348,5250,1827,68339,49155,14729,33414,101,2687,1683,0,1,1,11
Spain,1996,14195,72402,13012,22200,2271,6350,5123,1818,69211,50089,14982,34357,104,2652,1737,0,1,1,11
Spain,1997,14447,71561,12893,21866,2265,6242,3355,1775,68624,50245,15143,34788,106,2154,1764,0,1,1,10
Spain,1998,15032,72558,13126,22002,2318,6316,2534,1781,69770,51765,15652,36015,113,1909,1840,0,1,1,9
Spain,1999,15697,73574,13346,22193,2364,6403,2514,1787,70986,53076,16242,37214,119,1870,1920,0,1,1,9
Spain,2000,15402,71679,12947,21744,2294,6187,2386,1716,69086,52079,15893,37059,118,1814,1924,0,1,1,9
Spain,2001,15231,71259,12811,21630,2266,6097,2331,1695,68493,52261,15694,37375,118,1800,1957,0,1,1,9
Spain,2002,15459,71911,12866,21667,2269,6124,2345,1711,68782,53230,15856,38014,123,1807,2018,0,1,1,10
Spain,2003,15497,73038,13016,21870,2290,6184,2367,1742,69320,54603,15840,38867,128,1822,2087,0,1,1,10
Spain,2004,15051,71803,12768,21527,2239,6070,2317,1719,68453,54212,15329,38655,128,1811,2086,0,1,1,10
Spain,2005,14672,71542,12703,21363,2225,6065,2245,1721,68500,54346,14922,38855,132,1804,2109,0,1,1,10
Spain,2006,14077,70156,12419,20888,2180,5920,2164,1694,67444,53479,14302,38533,130,1769,2108,0,1,1,11
Spain,2007,13756,70086,12352,20719,2176,5910,2183,1704,67799,53579,13966,38768,132,1773,2155,0,1,1,11
Spain,2008,13386,69674,12225,20369,2160,5840,2127,1705,67461,53373,13577,38808,134,1756,2198,0,1,1,10
Spain,2009,13026,68477,11972,19827,2118,5699,2022,1683,66730,52490,13186,38434,133,1704,2178,0,1,1,10
Spain,2010,12690,67462,11763,19384,2079,5554,1985,1660,66000,51526,12818,38128,132,1673,2231,0,1,1,9
Spain,2011,12624,67751,11825,19185,2099,5523,1941,1678,66284,51472,12731,38485,135,1660,2310,0,1,1,8
Spain,2012,12572,67825,11871,18977,2130,5484,1875,1696,66581,51023,12661,38733,141,1651,2366,0,1,1,8
Spain,2013,12211,66487,11658,18557,2118,5328,1800,1671,65644,49377,12283,38461,141,1623,2443,0,1,1,7
Spain,2014,12156,66524,11708,18448,2154,5300,1751,1687,65850,48997,12212,38792,146,1618,2504,0,1,1,7
Spain,2015,12158,68227,12058,18713,2231,5404,1748,1746,67182,49999,12209,39844,155,1637,2621,0,1,1,6
Spain,2016,11456,67901,12004,18584,2224,5325,1791,1725,66720,49937,11506,39877,156,1647,2659,0,1,1,6
Spain,2017,11104,68757,12225,18754,2264,5371,1781,1742,66985,51158,11154,40384,159,1651,2643,0,1,1,6
Spain,2018,11537,70482,12507,18952,2308,5479,1778,1761,66520,52817,11557,41227,163,1688,2689,0,0,1,5
Spain,2019,11774,72106,12753,19330,2332,5658,1763,1756,66331,54535,11785,42038,166,1724,2789,0,0,0,5
Sri Lanka,1990,3003,17575,2775,3758,2092,1674,284,177,10452,10560,12826,4331,974,249,572,118,319,10,102
Sri Lanka,1991,2857,16917,2637,3936,2007,1592,282,163,9811,10330,11973,4243,872,212,559,102,273,8,83
Sri Lanka,1992,2912,17243,2665,4299,2042,1606,291,159,9853,10661,11895,4429,820,192,566,94,253,8,74
Sri Lanka,1993,2900,17303,2654,4605,2049,1600,306,151,9679,10781,11520,4626,733,176,571,77,202,6,56
Sri Lanka,1994,3107,18298,2812,5183,2172,1684,324,154,10113,11502,11953,5016,696,180,593,71,193,5,51
Sri Lanka,1995,3363,19488,3004,5874,2317,1768,334,158,10739,12342,12457,5425,664,181,638,61,169,4,44
Sri Lanka,1996,3605,20439,3145,6445,2425,1844,363,160,10997,13150,12841,5792,643,203,666,58,171,4,43
Sri Lanka,1997,4040,22211,3414,7239,2644,1973,403,167,11782,14591,13654,6381,626,283,767,48,155,4,40
Sri Lanka,1998,4124,22167,3345,7337,2626,1927,414,157,11514,14891,13230,6463,573,301,786,39,128,3,34
Sri Lanka,1999,4422,23025,3427,7700,2732,1977,438,155,11721,15810,13481,6872,546,320,829,33,114,2,28
Sri Lanka,2000,4656,23685,3468,8129,2822,2017,458,153,11874,16636,13663,7247,529,334,882,31,111,2,27
Sri Lanka,2001,4646,23267,3331,7989,2775,1963,457,145,11489,16751,13206,7260,489,308,893,27,102,2,25
Sri Lanka,2002,4729,23524,3289,7829,2815,1980,472,142,11322,17432,13104,7529,454,289,925,22,88,2,22
Sri Lanka,2003,5050,24590,3398,7943,2980,2084,493,146,11686,18832,13595,8107,441,277,977,19,80,2,21
Sri Lanka,2004,5203,24830,3398,9072,3059,2140,508,145,11610,19740,13673,8512,428,264,1022,9,55,1,20
Sri Lanka,2005,5567,25294,3484,7625,3197,2249,523,148,11777,20936,14240,9049,439,256,1091,4,65,2,27
Sri Lanka,2006,5833,25763,3605,7385,3343,2335,520,151,11860,22343,14460,9502,412,238,1097,3,42,1,18
Sri Lanka,2007,6091,26016,3636,7306,3415,2389,508,149,11850,23305,14550,9952,389,234,1082,2,34,1,15
Sri Lanka,2008,6490,26722,3785,7240,3558,2480,509,150,12124,24519,15026,10519,381,216,1093,3,34,1,15
Sri Lanka,2009,6663,26884,3815,6704,3620,2556,531,146,11696,25372,15144,11009,371,184,1090,4,37,1,16
Sri Lanka,2010,6837,27139,3883,6590,3674,2599,524,143,11811,26123,15217,11371,361,169,1106,4,36,1,15
Sri Lanka,2011,6995,27870,4009,6839,3775,2694,530,144,12072,27295,15374,12042,363,176,1135,4,32,1,14
Sri Lanka,2012,6920,28046,4045,6878,3792,2749,532,141,12055,28090,15099,12509,364,172,1149,3,29,1,13
Sri Lanka,2013,6608,27616,3993,6720,3732,2785,539,136,11570,28512,14469,12880,361,164,1148,3,26,1,12
Sri Lanka,2014,6544,28271,4075,6850,3793,2847,540,132,11590,29346,14362,13427,354,170,1177,2,23,1,11
Sri Lanka,2015,6472,28173,4049,6885,3758,2848,538,127,11239,29400,14058,13748,341,179,1185,2,19,0,10
Sri Lanka,2016,6725,28617,4072,7028,3787,2902,543,124,11179,30046,14104,14347,335,186,1217,1,17,0,9
Sri Lanka,2017,7098,29117,4119,7144,3814,2948,542,123,11160,30583,14194,14888,330,192,1250,1,16,0,8
Sri Lanka,2018,7240,29088,4110,7160,3783,2951,542,120,10899,30657,13995,15237,319,200,1258,1,14,0,7
Sri Lanka,2019,7538,29938,4224,7296,3857,3027,547,121,11071,31714,14114,15936,317,204,1302,1,13,0,7
Sub-Saharan Africa (WB),1990,87226,360025,45840,176589,44189,54729,218007,12517,176383,181067,909081,114528,489016,8193,13904,109339,320559,11243,176123
Sub-Saharan Africa (WB),1991,89256,369149,47017,180876,45243,55129,276027,12853,180126,187780,917934,118667,497894,10213,14335,108802,323225,11627,182713
Sub-Saharan Africa (WB),1992,92148,381177,48464,185407,46774,56059,344875,13314,184866,196031,930107,124668,497073,12787,14812,106761,322127,11469,180588
Sub-Saharan Africa (WB),1993,93994,389614,49523,187802,47779,56193,422802,13504,186812,202215,939405,127734,497806,15680,15073,104739,320806,11412,180841
Sub-Saharan Africa (WB),1994,97263,401820,50837,192335,49198,57006,509431,13873,191831,210620,951419,134139,507031,19141,15520,104225,321532,11499,183477
Sub-Saharan Africa (WB),1995,100551,413265,52078,197655,50433,57369,601259,14158,197048,218159,963458,138784,506036,22936,15982,103254,320166,11430,183141
Sub-Saharan Africa (WB),1996,105274,428412,53713,202541,52031,57966,696071,14542,203000,227956,974353,146486,507688,26856,16584,102484,318446,11475,183780
Sub-Saharan Africa (WB),1997,112553,446170,55504,208394,54041,59057,792320,15136,210605,239639,984524,156911,506911,30930,16985,100794,315050,11466,183022
Sub-Saharan Africa (WB),1998,118482,460751,56972,213361,55481,59370,886135,15344,214615,248772,993482,163995,506245,34746,17545,99048,311385,11325,182753
Sub-Saharan Africa (WB),1999,123632,471407,58075,215437,56209,59220,974336,15303,214178,255142,998824,168703,503024,38311,17740,97754,306334,10834,180600
Sub-Saharan Africa (WB),2000,128185,485142,59422,219914,57379,59647,1055015,15451,216987,263886,1004488,175950,498676,41840,18232,93330,298402,10118,177297
Sub-Saharan Africa (WB),2001,131044,493191,60275,221083,57826,59432,1123158,15346,216390,269407,1001972,180641,491923,44885,18332,88670,287839,9565,174232
Sub-Saharan Africa (WB),2002,134560,504580,61513,223869,58718,59517,1179706,15409,217101,277340,1001751,187109,484218,47465,18873,82659,275568,9260,170247
Sub-Saharan Africa (WB),2003,138139,514560,62543,227577,59578,59351,1222808,15458,218248,284980,997416,194246,473894,49468,19100,77297,263106,8978,165593
Sub-Saharan Africa (WB),2004,141869,523345,63497,229987,60192,59173,1243441,15449,218151,291768,991931,200353,463882,50480,19413,70871,249139,8645,161000
Sub-Saharan Africa (WB),2005,146019,530875,64231,230877,60654,58942,1230897,15457,217616,298203,987590,206085,455820,50306,19790,63659,236250,8408,157219
Sub-Saharan Africa (WB),2006,152205,542670,65251,232723,61514,59240,1185777,15577,218665,307270,988857,213808,454818,48900,20228,54124,218034,8554,155921
Sub-Saharan Africa (WB),2007,156539,551932,65991,233504,61984,58994,1115580,15526,217802,314174,983744,220300,447716,46861,20504,48250,204294,8786,151899
Sub-Saharan Africa (WB),2008,160988,565369,67246,234731,62907,58860,1035052,15617,218125,323583,976370,228250,437504,44542,20844,45645,195460,8939,147156
Sub-Saharan Africa (WB),2009,166519,580040,68674,237156,63997,58906,965658,15737,219102,333626,971399,237766,429398,42059,21314,42818,185947,8899,142439
Sub-Saharan Africa (WB),2010,172773,592523,69959,239028,64960,58842,911878,15849,219896,342490,965514,246935,418948,40376,21740,41029,178758,8674,137029
Sub-Saharan Africa (WB),2011,181418,605623,71548,239760,66021,58808,861221,15966,220327,351264,960783,256298,407802,39075,22269,40305,174798,8596,131167
Sub-Saharan Africa (WB),2012,193630,619602,73232,242394,67188,59166,806543,16113,221476,360662,960277,266961,398674,37802,22753,36987,166693,8694,124983
Sub-Saharan Africa (WB),2013,207067,633001,74586,246291,68291,59618,758450,16227,222837,370313,960119,278699,392167,36661,23235,33320,159009,8620,119685
Sub-Saharan Africa (WB),2014,218346,647151,76047,250752,69658,60294,723787,16479,225303,380975,959497,292400,386407,36053,23710,30555,151755,7852,114209
Sub-Saharan Africa (WB),2015,226017,665281,78469,253744,71402,61028,700090,16864,227900,393036,958334,305809,378622,35945,24281,27732,143990,6819,108609
Sub-Saharan Africa (WB),2016,227665,678603,80161,257409,72734,61475,684456,17154,229642,402802,952938,318556,372804,36297,24690,25000,137005,6099,104400
Sub-Saharan Africa (WB),2017,228122,693028,82189,262524,74206,61579,659121,17481,231990,412446,941914,330816,365504,36535,25297,23042,129581,5650,100411
Sub-Saharan Africa (WB),2018,232603,706262,84297,266163,75427,61517,622410,17692,233652,420451,935461,340060,351221,36743,25908,21722,119622,5145,94690
Sub-Saharan Africa (WB),2019,241120,721695,86540,270554,76955,61924,603292,18055,236282,431231,931577,351910,340341,37825,26533,20420,112016,4830,90726
Sudan,1990,4122,30834,7604,1067,2751,5389,325,3084,11792,9339,38059,8856,9607,244,614,5214,11986,335,6309
Sudan,1991,4208,31868,7847,1160,2830,5393,383,3178,12150,10191,38225,9197,9708,291,620,5037,11841,331,6415
Sudan,1992,4323,32857,8068,1230,2903,5402,458,3263,12405,11027,38359,9552,9799,334,637,4840,11703,325,6487
Sudan,1993,4464,33723,8248,1379,2965,5390,547,3330,12638,11805,38334,9884,9891,390,655,4643,11529,318,6522
Sudan,1994,4621,34590,8430,1350,3025,5372,650,3399,12857,12546,38284,10223,9992,449,663,4454,11364,310,6559
Sudan,1995,4777,35347,8585,1419,3074,5321,769,3455,13029,13195,38058,10530,10010,517,674,4242,11086,300,6542
Sudan,1996,5004,36061,8727,1516,3115,5251,901,3506,13172,13775,37800,10829,10100,592,699,4024,10820,292,6655
Sudan,1997,5360,36698,8850,1620,3144,5175,1046,3548,13270,14298,37513,11107,9812,674,697,3717,10351,269,6423
Sudan,1998,5774,37285,8953,1713,3164,5087,1200,3581,13346,14783,37207,11378,10075,760,707,3653,10157,265,6684
Sudan,1999,6196,37772,9023,1796,3171,4977,1357,3598,13385,15226,36724,11645,9652,848,707,3539,9641,238,6310
Sudan,2000,6533,38151,9075,1836,3159,4892,1516,3596,13405,15653,36211,11892,9457,934,713,3248,8993,224,6113
Sudan,2001,6819,38486,9121,1852,3137,4790,1673,3584,13440,16084,35564,12195,9173,1018,720,3115,8481,215,5863
Sudan,2002,7107,38982,9201,1897,3127,4700,1826,3585,13557,16616,34979,12605,8870,1101,737,3041,8055,208,5562
Sudan,2003,7382,39329,9238,1923,3104,4583,1970,3568,13600,17091,34240,13018,8520,1176,751,2859,7541,200,5242
Sudan,2004,7711,39750,9289,1950,3089,4507,2105,3560,13667,17578,33673,13496,8277,1249,746,2538,6806,194,4956
Sudan,2005,8153,40110,9340,1979,3073,4521,2234,3551,13715,18018,33423,13968,8432,1319,752,1682,5352,204,4824
Sudan,2006,8623,40469,9396,1936,3056,4496,2355,3543,13764,18433,32957,14453,8426,1384,756,1281,4599,204,4681
Sudan,2007,9066,40881,9448,1838,3039,4450,2460,3530,13825,18860,32305,14999,7871,1441,765,1008,3944,185,4176
Sudan,2008,9507,41428,9528,1666,3033,4416,2499,3527,13943,19342,31662,15628,7456,1462,782,870,3555,170,3812
Sudan,2009,9982,42055,9631,1544,3035,4386,2534,3535,14083,19842,31092,16320,6988,1475,787,790,3271,153,3447
Sudan,2010,10466,42625,9741,1343,3040,4340,2644,3549,14216,20300,30499,17004,6380,1532,800,836,3215,132,3061
Sudan,2011,10963,43172,9863,1172,3048,4307,2786,3570,14345,20732,29948,17716,5718,1614,822,782,2989,112,2647
Sudan,2012,11525,43948,10030,936,3071,4320,2909,3609,14538,21213,29604,18596,5314,1694,821,654,2659,102,2356
Sudan,2013,12063,44704,10149,741,3088,4303,3016,3629,14700,21638,29128,19500,4894,1765,839,591,2448,91,2093
Sudan,2014,12679,45473,10254,564,3103,4335,3120,3645,14861,22070,28818,20397,4715,1832,840,335,1834,88,1919
Sudan,2015,13355,46462,10466,475,3145,4354,3242,3705,15087,22685,28533,21292,4319,1905,844,269,1590,79,1729
Sudan,2016,14138,47282,10689,463,3193,4393,3353,3768,15316,23556,28305,22047,4008,1977,860,213,1375,73,1589
Sudan,2017,15011,48176,10947,474,3250,4437,3436,3846,15557,24473,28141,22792,3899,2038,877,197,1281,74,1573
Sudan,2018,15990,49324,11266,482,3323,4501,3545,3946,15864,25332,28122,23619,3319,2109,901,154,1058,59,1260
Sudan,2019,17006,50501,11581,494,3394,4568,3619,4042,16147,26177,28163,24442,3003,2167,922,156,992,50,1113
Suriname,1990,135,451,78,116,46,58,72,6,251,341,275,243,31,5,11,1,5,3,25
Suriname,1991,143,473,82,123,48,61,62,6,268,365,284,258,30,5,12,1,5,3,24
Suriname,1992,150,484,84,130,49,63,63,6,283,381,289,271,29,5,12,1,5,3,22
Suriname,1993,162,512,89,140,53,67,69,7,309,411,303,292,28,6,13,1,4,2,20
Suriname,1994,154,472,80,134,48,62,73,6,291,384,281,276,27,7,12,1,4,2,19
Suriname,1995,135,401,66,118,41,53,79,5,247,329,241,240,25,7,11,1,4,2,19
Suriname,1996,137,397,63,115,40,53,90,5,244,329,237,240,24,7,11,1,4,2,18
Suriname,1997,147,410,65,120,42,54,89,5,254,343,244,248,24,8,11,0,4,2,17
Suriname,1998,166,448,70,131,46,59,97,5,283,380,265,273,24,9,12,0,3,2,17
Suriname,1999,185,486,75,141,50,64,118,6,307,418,286,301,24,10,13,0,3,2,16
Suriname,2000,194,513,77,142,52,66,141,6,321,445,296,315,24,11,14,0,3,1,15
Suriname,2001,200,539,80,145,55,69,146,6,335,472,303,333,24,11,15,0,3,1,13
Suriname,2002,204,567,83,151,57,72,168,6,352,500,305,359,23,13,15,0,3,1,12
Suriname,2003,201,577,84,158,59,72,163,6,363,514,295,377,22,13,15,0,3,1,12
Suriname,2004,197,581,85,160,59,72,166,6,363,524,283,388,22,13,15,0,2,1,11
Suriname,2005,191,574,83,159,58,71,157,6,358,522,271,387,21,13,15,0,2,1,10
Suriname,2006,189,569,83,160,57,70,152,5,353,524,263,391,20,12,15,0,2,1,10
Suriname,2007,189,570,84,164,57,70,145,5,355,533,258,397,20,12,15,0,2,1,10
Suriname,2008,193,580,86,170,57,71,134,5,361,553,259,411,20,12,18,0,2,1,9
Suriname,2009,195,588,87,170,57,71,132,5,364,571,259,424,20,12,16,0,2,1,9
Suriname,2010,199,597,90,174,58,72,139,5,372,589,261,437,19,12,17,0,2,1,8
Suriname,2011,203,600,91,175,57,72,129,4,371,597,263,446,19,12,17,0,2,1,8
Suriname,2012,214,611,92,175,57,73,130,4,372,611,269,458,19,12,18,0,1,1,7
Suriname,2013,236,650,98,183,60,76,125,4,393,653,289,490,20,12,19,0,1,1,7
Suriname,2014,258,692,104,188,62,80,142,5,412,698,310,524,21,12,20,0,1,1,7
Suriname,2015,276,733,111,197,66,85,135,5,428,743,329,563,21,13,21,0,1,1,6
Suriname,2016,272,760,115,202,69,87,134,5,435,774,325,590,21,13,22,0,1,1,6
Suriname,2017,263,786,119,207,71,90,134,5,444,802,313,616,21,13,22,0,1,1,6
Suriname,2018,261,810,123,211,73,92,133,6,450,828,310,639,21,14,23,0,1,1,5
Suriname,2019,261,829,126,214,74,95,132,6,451,845,308,657,21,14,23,0,1,0,5
Sweden,1990,2759,25236,6188,3138,2048,1253,354,1938,16720,9141,2786,7983,46,242,792,0,1,0,2
Sweden,1991,2668,25285,6141,3207,2046,1230,361,1914,16621,9205,2692,8076,45,254,809,0,1,0,2
Sweden,1992,2546,25091,6040,3222,2021,1191,365,1869,16356,9206,2568,8074,45,265,809,0,0,0,2
Sweden,1993,2474,25073,5985,3251,2009,1167,369,1838,16208,9291,2492,8113,45,277,821,0,0,0,2
Sweden,1994,2317,24229,5736,3246,1933,1109,381,1742,15659,9061,2332,7916,43,289,946,0,0,0,1
Sweden,1995,2285,24249,5709,3225,1927,1095,393,1714,15629,9187,2298,7991,42,306,817,0,0,0,1
Sweden,1996,2244,24183,5650,3207,1906,1071,378,1671,15497,9367,2256,8014,42,312,835,0,0,0,1
Sweden,1997,2187,23995,5560,3163,1868,1044,341,1613,15310,9631,2198,7994,40,305,843,0,0,0,1
Sweden,1998,2140,23883,5498,3159,1833,1021,332,1561,15171,10010,2149,8003,39,317,853,0,0,0,1
Sweden,1999,2090,23761,5438,3158,1799,1003,336,1508,15051,10409,2099,8033,39,338,875,0,0,0,1
Sweden,2000,2026,23365,5321,3168,1746,971,339,1442,14796,10604,2034,7985,37,359,897,0,0,0,1
Sweden,2001,1942,23044,5246,3225,1705,944,346,1386,14637,10780,1949,7987,36,369,939,0,0,0,1
Sweden,2002,1838,22769,5184,3324,1664,919,339,1329,14505,10934,1842,8003,36,370,983,0,0,0,1
Sweden,2003,1689,22053,5027,3393,1597,883,333,1248,14256,10878,1693,7913,35,376,1008,0,0,0,1
Sweden,2004,1557,21526,4913,3469,1543,856,329,1178,14106,10898,1561,7896,34,388,1028,0,0,0,1
Sweden,2005,1482,21113,4791,3501,1488,826,325,1114,13878,10911,1485,7851,34,396,1048,0,0,0,1
Sweden,2006,1457,21057,4747,3574,1463,806,319,1070,13794,11157,1460,7911,34,409,1070,0,0,0,1
Sweden,2007,1456,20877,4664,3652,1429,786,324,1018,13661,11414,1457,7933,35,432,1100,0,0,0,1
Sweden,2008,1426,20493,4536,3741,1386,768,307,959,13513,11565,1428,7899,35,457,1114,0,0,0,1
Sweden,2009,1421,20256,4431,3825,1352,754,312,910,13444,11673,1422,7925,36,476,1125,0,0,0,1
Sweden,2010,1403,20077,4334,3887,1323,740,299,869,13365,11638,1403,7975,36,494,1155,0,0,0,1
Sweden,2011,1346,20012,4274,3949,1308,737,300,838,13407,11548,1346,8075,38,516,1173,0,0,0,1
Sweden,2012,1236,19801,4187,4008,1282,730,292,803,13375,11323,1235,8132,39,543,1188,0,0,0,1
Sweden,2013,1074,19464,4078,4064,1250,721,290,764,13321,11017,1073,8183,39,578,1189,0,0,0,1
Sweden,2014,925,19104,3982,4102,1221,711,288,730,13266,10747,924,8210,38,617,1184,0,0,0,1
Sweden,2015,825,19083,3957,4163,1210,713,298,714,13314,10731,825,8337,40,652,1209,0,0,0,1
Sweden,2016,776,19204,3973,4222,1210,715,300,707,13363,10945,777,8491,41,679,1235,0,0,0,1
Sweden,2017,744,19284,3996,4269,1211,722,302,701,13488,11263,745,8633,41,702,1247,0,0,0,1
Sweden,2018,769,19483,4079,4293,1226,732,302,706,13639,11655,770,8750,41,717,1243,0,0,0,1
